TRACK_ID,ARTIST_ID,ALBUM_ID,PATH,DURATION,TAGS,genre_list
31675,4393,3960,75/31675.mp3,405.6,Elektronika;Techno,"['Elektronika', 'Techno']"
1371076,440579,161286,76/1371076.mp3,54.8,Elektronika;Techno,"['Elektronika', 'Techno']"
683574,2189,79504,74/683574.mp3,393.7,Elektronika;Techno,"['Elektronika', 'Techno']"
431581,2799,52453,81/431581.mp3,977.8,Elektronika;Techno,"['Elektronika', 'Techno']"
1371079,440579,161286,79/1371079.mp3,187.6,Elektronika;Techno,"['Elektronika', 'Techno']"
1109789,349882,132590,89/1109789.mp3,242.9,Elektronika;Techno,"['Elektronika', 'Techno']"
1294657,477775,154154,57/1294657.mp3,186.9,Elektronika;Techno,"['Elektronika', 'Techno']"
1145823,427818,137384,23/1145823.mp3,410.3,Ambient;Elektronika;Techno,"['Ambient', 'Elektronika', 'Techno']"
1280494,481477,152741,94/1280494.mp3,192.3,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
1299932,477775,154708,32/1299932.mp3,180.1,Elektronika;Pop;Rock;Techno,"['Elektronika', 'Pop', 'Rock', 'Techno']"
518171,2816,60601,71/518171.mp3,218.4,Ambient;Elektronika;Folk;Hip-Hop;Techno,"['Ambient', 'Elektronika', 'Folk', 'Hip-Hop', 'Techno']"
1384686,493899,162396,86/1384686.mp3,178.4,Elektronika;Techno,"['Elektronika', 'Techno']"
889282,7862,104570,82/889282.mp3,314.7,Ambient;Elektronika;Techno,"['Ambient', 'Elektronika', 'Techno']"
1330193,2444,157394,93/1330193.mp3,448.1,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
1062701,358794,125470,01/1062701.mp3,459.3,Elektronika;Techno,"['Elektronika', 'Techno']"
321115,5681,43307,15/321115.mp3,309.9,Elektronika;Techno,"['Elektronika', 'Techno']"
1194246,460494,143724,46/1194246.mp3,405.2,Elektronika;Techno,"['Elektronika', 'Techno']"
533188,350575,62223,88/533188.mp3,222.0,Elektronika;Techno,"['Elektronika', 'Techno']"
130485,5681,18407,85/130485.mp3,292.7,Elektronika;Techno,"['Elektronika', 'Techno']"
693475,357317,80813,75/693475.mp3,249.2,Elektronika;Techno,"['Elektronika', 'Techno']"
1353981,4505,159623,81/1353981.mp3,209.3,Elektronika;Techno,"['Elektronika', 'Techno']"
516539,342718,60445,39/516539.mp3,751.0,Elektronika;Techno,"['Elektronika', 'Techno']"
1371087,440579,161286,87/1371087.mp3,231.5,Elektronika;Techno,"['Elektronika', 'Techno']"
1308622,486490,155502,22/1308622.mp3,399.4,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
1414101,459669,165100,01/1414101.mp3,512.2,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
1326473,437778,156661,73/1326473.mp3,386.0,Elektronika;Hip-Hop;House;Techno,"['Elektronika', 'Hip-Hop', 'House', 'Techno']"
1109354,2189,132520,54/1109354.mp3,198.4,Elektronika;Techno,"['Elektronika', 'Techno']"
1395655,493932,162320,55/1395655.mp3,264.0,Elektronika;Techno,"['Elektronika', 'Techno']"
347258,1058,45630,58/347258.mp3,386.6,Ambient;Elektronika;Techno,"['Ambient', 'Elektronika', 'Techno']"
1092305,375327,130188,05/1092305.mp3,220.0,Elektronika;Techno,"['Elektronika', 'Techno']"
1220856,468434,146428,56/1220856.mp3,458.1,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
80760,1336,7401,60/80760.mp3,73.1,Elektronika;Techno,"['Elektronika', 'Techno']"
340668,349882,45013,68/340668.mp3,236.3,Elektronika;Techno,"['Elektronika', 'Techno']"
296683,346685,40711,83/296683.mp3,478.1,Elektronika;Techno,"['Elektronika', 'Techno']"
467947,7506,55492,47/467947.mp3,151.7,Elektronika;Techno,"['Elektronika', 'Techno']"
107864,4083,12974,64/107864.mp3,404.2,Elektronika;Techno,"['Elektronika', 'Techno']"
270635,346685,38377,35/270635.mp3,410.0,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
870011,374543,102039,11/870011.mp3,450.0,Elektronika;House;Techno,"['Elektronika', 'House', 'Techno']"
